Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
82608-80001,RB,Austin,Austin Ekeler,Ekeler,21.17142813546317,7,9400,LAC@ATL,LAC,ATL,,,,,,RB/FLEX
82608-62239,QB,Josh,Josh Allen,Allen,28.074286324637278,7,9300,BUF@NYJ,BUF,NYJ,,,,,,QB
82608-79970,WR,Cooper,Cooper Kupp,Kupp,19.957142421177455,7,9000,LAR@TB,LAR,TB,,,,,,WR/FLEX
82608-85671,WR,Justin,Justin Jefferson,Jefferson,17.488571166992188,7,9000,MIN@WAS,MIN,WAS,,,,,,WR/FLEX
82608-25079,WR,Stefon,Stefon Diggs,Diggs,20.84285627092634,7,8900,BUF@NYJ,BUF,NYJ,,,,,,WR/FLEX
82608-72731,RB,Josh,Josh Jacobs,Jacobs,18.542857578822545,7,8800,LV@JAC,LV,JAC,,,,,,RB/FLEX
82608-53681,WR,Tyreek,Tyreek Hill,Hill,18.137500762939453,8,8700,MIA@CHI,MIA,CHI,,,,,,WR/FLEX
82608-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,21.600000381469727,2,8600,SEA@ARI,ARI,SEA,,,,,,WR/FLEX
82608-63336,QB,Joe,Joe Burrow,Burrow,23.295000076293945,8,8500,CAR@CIN,CIN,CAR,,,,,,QB
82608-54140,RB,Dalvin,Dalvin Cook,Cook,14.799999782017299,7,8500,MIN@WAS,MIN,WAS,,,,,,RB/FLEX
82608-103342,RB,Kenneth,Kenneth Walker III,Walker III,11.914285932268415,7,8300,SEA@ARI,SEA,ARI,,,,,,RB/FLEX
82608-90573,WR,Jaylen,Jaylen Waddle,Waddle,15.425000190734863,8,8200,MIA@CHI,MIA,CHI,,,,,,WR/FLEX
82608-63484,QB,Kyler,Kyler Murray,Murray,20.202499389648438,8,8200,SEA@ARI,ARI,SEA,,,,,,QB
82608-52442,RB,Joe,Joe Mixon,Mixon,12.449999809265137,8,8100,CAR@CIN,CIN,CAR,,,,,,RB/FLEX
82608-45889,WR,Davante,Davante Adams,Adams,14.299999782017299,7,8100,LV@JAC,LV,JAC,,,,,,WR/FLEX
82608-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,19.270000457763672,6,8000,MIA@CHI,MIA,CHI,,,,,,QB
82608-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.885713849748885,7,8000,CAR@CIN,CIN,CAR,O,Hip,,,,WR/FLEX
82608-89981,WR,Tee,Tee Higgins,Higgins,12.200000217982701,7,8000,CAR@CIN,CIN,CAR,,,,,,WR/FLEX
82608-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,14.6875,8,8000,IND@NE,NE,IND,,,,,,RB/FLEX
82608-22038,QB,Kirk,Kirk Cousins,Cousins,18.051428658621653,7,7900,MIN@WAS,MIN,WAS,,,,,,QB
82608-40442,RB,Aaron,Aaron Jones,Jones,14.1875,8,7800,GB@DET,GB,DET,,,,,,RB/FLEX
82608-69189,QB,Justin,Justin Herbert,Herbert,17.837142944335938,7,7800,LAC@ATL,LAC,ATL,,,,,,QB
82608-32384,WR,Mike,Mike Evans,Evans,13.599999564034599,7,7700,LAR@TB,TB,LAR,,,,,,WR/FLEX
82608-27050,WR,Tyler,Tyler Lockett,Lockett,11.262499809265137,8,7600,SEA@ARI,SEA,ARI,,,,,,WR/FLEX
82608-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,11.662500381469727,8,7600,LV@JAC,JAC,LV,,,,,,RB/FLEX
82608-91598,RB,D'Andre,D'Andre Swift,Swift,14.649999618530273,4,7500,GB@DET,DET,GB,Q,Ankle,,,,RB/FLEX
82608-45631,RB,Jamaal,Jamaal Williams,Williams,14.657142639160156,7,7500,GB@DET,DET,GB,,,,,,RB/FLEX
82608-29253,WR,Keenan,Keenan Allen,Allen,5.349999904632568,2,7500,LAC@ATL,LAC,ATL,O,Hamstring,,,,WR/FLEX
82608-26483,QB,Geno,Geno Smith,Smith,18.219999313354492,8,7500,SEA@ARI,SEA,ARI,,,,,,QB
82608-73048,WR,DK,DK Metcalf,Metcalf,9.975000381469727,8,7400,SEA@ARI,SEA,ARI,,,,,,WR/FLEX
82608-91591,QB,Justin,Justin Fields,Fields,16.045000076293945,8,7400,MIA@CHI,CHI,MIA,,,,,,QB
82608-55830,RB,D'Onta,D'Onta Foreman,Foreman,7.285714285714286,7,7300,CAR@CIN,CAR,CIN,,,,,,RB/FLEX
82608-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,14.199999809265137,4,7200,LAC@ATL,ATL,LAC,,,,,,RB/FLEX
